Incident ID,Timestamp,Incident Type,Call Type,Source Number,Destination Number,Error Code,Signal Strength,Device Type,Network Segment,Codec Used,Jitter,Latency,Packet Loss,Impact Area,Cell Tower Geolocation,Impact Severity,User Impact,Services Affected,Attack Type,Network Load / Congestion Level
115,17-12-2024 4.08,Intermittent Service,Video,+91 9610960758,+91 9889607486,503.0,-43.26256195999245,Router,Core Network,G.729,39ms,204ms,8%,Chennai,"28.7746° N, 77.9525° E",Critical,4425 users,VoIP,,53%
116,13-12-2024 2.35,unauthorized access,Video,+91 9366102572,+91 9125433941,408.0,-62.467594945856526,Switch,Access Network,Opus,16ms,405ms,5%,Mumbai,"28.1234° N, 77.0639° E",Low,1340 users,PBX,Equipment Breach,100%
117,19-12-2024 10.56,Routing Table Overflow,Voice,+91 9819930276,+91 9069568941,,-53.33022479200208,Switch,Edge Network,G.711,28ms,108ms,0%,Delhi NCR,"28.0045° N, 77.5369° E",Critical,3404 users,PBX,,59%
118,15-12-2024 21.38,Echo During Calls,Voice,+91 9407105668,+91 9471758105,500.0,-77.62694652648047,Router,Access Network,H.264,50ms,314ms,10%,Bangalore,"28.3939° N, 77.8067° E",Critical,923 users,VoIP,Call Interception,93%
119,12-12-2024 19.06,Network Downtime,Voice,+91 9349506373,+91 9118102356,500.0,-54.67918703304168,PBX,Core Network,G.711,36ms,383ms,4%,Kolkata,"28.0641° N, 77.9435° E",Critical,1844 users,Mobile,Equipment Breach,47%
120,16-12-2024 14.01,Device Unresponsiveness,Voice,+91 9337803951,+91 9985759763,404.0,-52.092090117761174,Mobile,Access Network,G.711,24ms,116ms,3%,Chennai,"28.5084° N, 77.5087° E",Low,4752 users,Data,Call Interception,75%
121,16-12-2024 18.40,Blank Response After Calling,Video,+91 9451730516,+91 9624197551,404.0,-74.81059934921782,Switch,Edge Network,G.729,22ms,76ms,0%,Bangalore,"28.5367° N, 77.9494° E",Medium,1962 users,Mobile,Call Interception,41%
122,17-12-2024 14.50,Intermittent Service,Video,+91 9489250138,+91 9893652481,,-75.8960823789197,PBX,Edge Network,Opus,35ms,484ms,3%,Bangalore,"28.6590° N, 77.7223° E",Low,4262 users,VoIP,DDoS,70%
123,12-12-2024 14.41,No Dial Tone,Video,+91 9925957042,+91 9626320849,,-76.15935770629454,PBX,Edge Network,H.264,23ms,328ms,1%,Delhi NCR,"28.1177° N, 77.9231° E",Critical,425 users,PBX,Equipment Breach,74%
124,16-12-2024 14.59,data breaches,Voice,+91 9738983326,+91 9782989848,,-68.97052040633105,Router,Edge Network,G.729,5ms,449ms,8%,Mumbai,"28.4060° N, 77.6048° E",Medium,3940 users,Mobile,Call Interception,59%
125,14-12-2024 21.51,Degraded Performance,Video,+91 9396176374,+91 9990187171,404.0,-79.68728868856262,Switch,Edge Network,G.729,41ms,289ms,6%,Mumbai,"28.0763° N, 77.0538° E",Critical,3699 users,Data,DDoS,97%
126,13-12-2024 10.15,Poor Voice Quality,Video,+91 9424561819,+91 9281040069,404.0,-86.81488877849955,PBX,Access Network,G.711,44ms,390ms,0%,Bangalore,"28.1209° N, 77.7775° E",High,894 users,PBX,Call Interception,97%
127,13-12-2024 9.31,Misconfigured Routes,Video,+91 9611527343,+91 9006924831,404.0,-58.05517346408104,Switch,Core Network,Opus,21ms,292ms,0%,Chennai,"28.6459° N, 77.7236° E",Critical,1786 users,Mobile,Call Interception,69%
128,16-12-2024 12.08,Routing Protocol Failure,Video,+91 9506516515,+91 9163896294,500.0,-75.3174966922469,Mobile,Core Network,Opus,6ms,138ms,8%,Bangalore,"28.6807° N, 77.7799° E",Low,2610 users,VoIP,,55%
129,17-12-2024 11.03,Failure to Connect,Video,+91 9454536676,+91 9769469232,503.0,-71.1597403025614,PBX,Core Network,H.264,7ms,404ms,1%,Mumbai,"28.8415° N, 77.4053° E",Critical,2178 users,PBX,Equipment Breach,45%
130,13-12-2024 2.28,Intermittent Connectivity,Video,+91 9175753317,+91 9486920046,,-83.56677451271304,Router,Access Network,G.729,48ms,280ms,2%,Mumbai,"28.8739° N, 77.0360° E",High,4104 users,VoIP,DDoS,81%
131,15-12-2024 10.48,Misconfigured Routes,Video,+91 9440270479,+91 9349729396,,-88.17864209991286,PBX,Edge Network,Opus,23ms,104ms,9%,Kolkata,"28.3816° N, 77.2699° E",Critical,4746 users,VoIP,,95%
132,16-12-2024 8.07,No Dial Tone,Video,+91 9761424620,+91 9918193267,404.0,-65.97051493853037,Mobile,Edge Network,G.729,38ms,118ms,0%,Delhi NCR,"28.3701° N, 77.0497° E",High,3732 users,Mobile,Call Interception,52%
133,14-12-2024 17.12,Intermittent Failure,Voice,+91 9013085629,+91 9984803848,404.0,-75.59157917763278,Switch,Edge Network,H.264,44ms,260ms,0%,Chennai,"28.4675° N, 77.6612° E",Medium,1462 users,Data,DDoS,65%
134,18-12-2024 18.58,Partial Outage,Video,+91 9240179646,+91 9395045327,408.0,-65.82361429029534,PBX,Core Network,H.264,27ms,114ms,2%,Kolkata,"28.7038° N, 77.9398° E",Medium,1996 users,PBX,Equipment Breach,77%
135,16-12-2024 13.37,Intermittent Failure,Voice,+91 9577885932,+91 9882639830,404.0,-52.030928385134644,PBX,Access Network,H.264,50ms,101ms,8%,Delhi NCR,"28.5033° N, 77.6623° E",High,1210 users,Mobile,DDoS,93%
136,19-12-2024 5.26,Latency and Delay,Video,+91 9551524409,+91 9035931669,503.0,-88.19526393718976,Router,Access Network,G.711,44ms,157ms,1%,Delhi NCR,"28.4005° N, 77.5063° E",Low,3873 users,Mobile,Call Interception,92%
137,16-12-2024 14.04,Degraded Performance,Video,+91 9998640952,+91 9992042546,408.0,-59.754402501393386,Mobile,Edge Network,G.711,39ms,442ms,2%,Bangalore,"28.5784° N, 77.0520° E",Low,4699 users,VoIP,DDoS,40%
138,14-12-2024 15.29,Misconfigured Routes,Voice,+91 9861917955,+91 9828438291,,-73.87932675490235,PBX,Edge Network,G.711,35ms,240ms,5%,Mumbai,"28.7801° N, 77.9819° E",Critical,1910 users,PBX,DDoS,94%
139,13-12-2024 16.27,Slow Performance,Video,+91 9405749509,+91 9745642301,500.0,-54.65421854963673,Switch,Access Network,Opus,50ms,424ms,4%,Delhi NCR,"28.7525° N, 77.3742° E",High,2534 users,VoIP,Call Interception,94%
140,18-12-2024 0.52,unauthorized access,Voice,+91 9222213548,+91 9048590695,408.0,-47.43750397560223,Switch,Core Network,G.729,28ms,216ms,3%,Chennai,"28.8490° N, 77.5069° E",Critical,3389 users,Data,Call Interception,54%
141,19-12-2024 2.31,Complete Service Downtime,Video,+91 9014228277,+91 9273807843,408.0,-84.20860890335747,Mobile,Access Network,G.711,30ms,365ms,5%,Kolkata,"28.0787° N, 77.5457° E",Critical,4898 users,Mobile,Call Interception,47%
142,17-12-2024 18.34,Hardware Malfunction,Video,+91 9335996549,+91 9408838157,503.0,-82.59215439688377,Router,Access Network,H.264,28ms,186ms,0%,Delhi NCR,"28.9982° N, 77.9300° E",High,4461 users,PBX,Equipment Breach,63%
143,14-12-2024 19.35,Slow Performance,Video,+91 9203515667,+91 9726848319,404.0,-43.74551914646303,Switch,Access Network,G.729,13ms,388ms,5%,Bangalore,"28.0807° N, 77.0161° E",Low,3034 users,PBX,Equipment Breach,52%
144,18-12-2024 11.19,Intermittent Service,Video,+91 9408570107,+91 9207132334,503.0,-80.55975388653334,Router,Access Network,Opus,34ms,78ms,4%,Bangalore,"28.3576° N, 77.0755° E",High,731 users,Data,DDoS,66%
145,19-12-2024 1.57,Failure to Connect,Video,+91 9037416833,+91 9482922519,404.0,-63.777850246681055,Router,Access Network,Opus,23ms,479ms,8%,Chennai,"28.5196° N, 77.2570° E",Medium,4117 users,Mobile,Call Interception,85%
146,13-12-2024 16.20,data breaches,Video,+91 9851892762,+91 9217518946,404.0,-88.83558678015295,Mobile,Core Network,G.729,49ms,54ms,1%,Bangalore,"28.0026° N, 77.7802° E",Medium,1250 users,PBX,DDoS,48%
147,17-12-2024 20.50,Slow Performance,Video,+91 9004666605,+91 9021332871,408.0,-85.52998080243638,PBX,Edge Network,G.711,11ms,239ms,4%,Chennai,"28.9808° N, 77.3820° E",Low,3720 users,Mobile,DDoS,78%
148,17-12-2024 6.01,Partial Outage,Video,+91 9838882028,+91 9348233670,,-54.98422745980111,Mobile,Core Network,Opus,27ms,177ms,5%,Bangalore,"28.2415° N, 77.8359° E",Critical,829 users,Data,,42%
149,14-12-2024 2.57,Latency and Delay,Video,+91 9260619096,+91 9586072997,408.0,-54.119660025041355,Router,Core Network,Opus,34ms,355ms,10%,Kolkata,"28.5356° N, 77.7541° E",Low,3225 users,Mobile,Equipment Breach,94%
150,14-12-2024 6.37,Latency or Delays,Video,+91 9538107739,+91 9646265366,404.0,-72.06317690328895,Switch,Access Network,G.729,11ms,342ms,0%,Kolkata,"28.9962° N, 77.8551° E",Medium,3731 users,Data,DDoS,95%
151,17-12-2024 10.55,Routing Protocol Failure,Voice,+91 9993898627,+91 9060152939,503.0,-73.30697130754288,PBX,Core Network,G.711,50ms,119ms,5%,Bangalore,"28.3888° N, 77.9150° E",Medium,2312 users,PBX,Equipment Breach,41%
152,18-12-2024 8.06,Echo During Calls,Video,+91 9996964785,+91 9589480383,,-45.56676513716195,Switch,Core Network,Opus,41ms,465ms,3%,Chennai,"28.3663° N, 77.0502° E",Medium,2191 users,Mobile,Call Interception,52%
153,15-12-2024 15.50,data breaches,Video,+91 9285705312,+91 9727371707,503.0,-74.12468109476244,PBX,Access Network,G.711,20ms,100ms,1%,Chennai,"28.5236° N, 77.7277° E",High,3857 users,PBX,Call Interception,54%
154,14-12-2024 9.44,Partial Outage,Video,+91 9361846403,+91 9269785318,,-68.9937286005185,Switch,Core Network,H.264,14ms,81ms,4%,Delhi NCR,"28.5230° N, 77.9824° E",High,4799 users,Data,Equipment Breach,87%
155,18-12-2024 18.36,No Dial Tone,Video,+91 9208259021,+91 9834324232,404.0,-42.05001243368059,Mobile,Edge Network,G.711,35ms,359ms,5%,Chennai,"29.0000° N, 77.4621° E",Medium,2734 users,PBX,DDoS,53%
156,16-12-2024 4.09,Service Outage,Voice,+91 9851048173,+91 9975027793,404.0,-49.58400678441092,Switch,Core Network,G.711,23ms,352ms,8%,Kolkata,"28.4271° N, 77.4455° E",Critical,4700 users,Data,Equipment Breach,73%
157,15-12-2024 19.42,Device Unresponsiveness,Voice,+91 9744337787,+91 9436145121,408.0,-67.68310306647365,Router,Core Network,G.711,5ms,355ms,7%,Mumbai,"28.6226° N, 77.4048° E",Low,3372 users,Data,DDoS,76%
158,17-12-2024 23.05,Dropped Calls,Voice,+91 9564327045,+91 9228295686,,-48.1197379588927,Router,Access Network,H.264,17ms,328ms,4%,Delhi NCR,"28.4089° N, 77.6815° E",High,2753 users,Mobile,Call Interception,96%
159,17-12-2024 17.57,Blank Response After Calling,Voice,+91 9959224961,+91 9245775455,404.0,-59.63785358905681,Mobile,Edge Network,G.729,19ms,451ms,8%,Chennai,"28.6909° N, 77.0518° E",High,963 users,Data,Call Interception,52%
160,15-12-2024 1.30,Network Downtime,Video,+91 9659613669,+91 9236957659,503.0,-49.35091943364461,Switch,Edge Network,Opus,7ms,468ms,4%,Mumbai,"28.1093° N, 77.4744° E",Medium,2836 users,PBX,,74%
161,16-12-2024 19.37,Complete Service Downtime,Voice,+91 9230228590,+91 9231526122,503.0,-58.66611225245633,PBX,Access Network,Opus,37ms,320ms,0%,Mumbai,"28.7794° N, 77.7605° E",High,1118 users,Data,Equipment Breach,77%
162,16-12-2024 0.30,denial of services,Video,+91 9787596864,+91 9501128354,408.0,-69.73398449268335,Switch,Edge Network,G.711,34ms,238ms,8%,Mumbai,"28.2189° N, 77.2229° E",Low,4620 users,Data,Equipment Breach,61%
163,17-12-2024 22.33,Latency or Delays,Voice,+91 9866348352,+91 9388110124,408.0,-48.4058380167791,PBX,Access Network,Opus,6ms,139ms,5%,Chennai,"28.4334° N, 77.9181° E",High,502 users,Mobile,DDoS,75%
164,18-12-2024 7.03,Unauthorized Disconnections,Video,+91 9092526410,+91 9136087802,,-64.1618794393498,Switch,Edge Network,Opus,17ms,274ms,3%,Bangalore,"28.7773° N, 77.6215° E",Critical,3323 users,VoIP,Call Interception,54%
165,15-12-2024 10.49,Complete Service Downtime,Video,+91 9067325060,+91 9790768466,503.0,-44.432019865248755,Router,Core Network,G.729,35ms,354ms,7%,Bangalore,"28.0072° N, 77.3199° E",Critical,416 users,Mobile,DDoS,77%
166,17-12-2024 20.56,Service Outage,Voice,+91 9029683710,+91 9782849271,503.0,-41.31033697921978,Mobile,Access Network,G.729,20ms,251ms,4%,Chennai,"28.5488° N, 77.0771° E",High,3937 users,Data,DDoS,52%
167,16-12-2024 4.05,denial of services,Video,+91 9692297258,+91 9166256884,408.0,-49.74761372982907,PBX,Edge Network,H.264,25ms,82ms,8%,Bangalore,"28.2557° N, 77.2668° E",High,1087 users,PBX,DDoS,72%
168,17-12-2024 15.38,malware infections,Voice,+91 9987082791,+91 9213650345,408.0,-52.98035611066664,Router,Core Network,G.729,17ms,150ms,0%,Chennai,"28.2371° N, 77.2061° E",Low,1364 users,VoIP,Equipment Breach,71%
169,14-12-2024 21.30,Latency and Delay,Voice,+91 9262456641,+91 9034256268,503.0,-41.93556647283441,PBX,Access Network,Opus,41ms,342ms,6%,Mumbai,"28.9908° N, 77.1131° E",Critical,1173 users,Mobile,Call Interception,61%
170,18-12-2024 20.02,Misconfigured Routes,Video,+91 9215574806,+91 9592796950,503.0,-60.19418084480026,PBX,Edge Network,G.711,28ms,397ms,10%,Kolkata,"28.3802° N, 77.4488° E",Low,715 users,Data,Equipment Breach,45%
171,17-12-2024 17.12,Unauthorized Disconnections,Video,+91 9819740040,+91 9154311240,,-68.55169541468977,Router,Core Network,H.264,33ms,168ms,7%,Delhi NCR,"28.3293° N, 77.7193° E",Low,240 users,Mobile,,87%
172,19-12-2024 9.08,phishing attacks,Video,+91 9103859925,+91 9062286153,408.0,-46.546105835254046,PBX,Access Network,G.729,15ms,103ms,5%,Chennai,"28.8409° N, 77.6957° E",High,3746 users,PBX,DDoS,75%
173,19-12-2024 0.52,Network Downtime,Voice,+91 9420387959,+91 9529748852,,-67.11151790781827,Router,Access Network,G.711,17ms,470ms,2%,Chennai,"28.2530° N, 77.3368° E",Critical,1744 users,VoIP,DDoS,96%
174,19-12-2024 9.05,Network Downtime,Video,+91 9117030932,+91 9630480837,404.0,-72.95366867302751,Switch,Access Network,H.264,23ms,69ms,2%,Kolkata,"28.0968° N, 77.7378° E",Medium,3243 users,Mobile,Equipment Breach,53%
175,17-12-2024 6.34,data breaches,Video,+91 9442057225,+91 9703858027,,-63.04200940175923,Router,Edge Network,H.264,45ms,147ms,10%,Delhi NCR,"28.4347° N, 77.3484° E",Medium,4385 users,Data,Call Interception,74%
176,16-12-2024 4.37,Hardware Malfunction,Voice,+91 9613021292,+91 9629413958,,-84.89677924069535,Switch,Access Network,G.729,35ms,336ms,6%,Delhi NCR,"28.4339° N, 77.8330° E",High,3478 users,VoIP,Call Interception,58%
177,19-12-2024 10.12,data breaches,Video,+91 9491442152,+91 9100237121,500.0,-86.76036867429518,Router,Core Network,G.729,23ms,343ms,4%,Bangalore,"28.5213° N, 77.1792° E",Medium,1819 users,VoIP,Equipment Breach,53%
178,12-12-2024 19.54,Blank Response After Calling,Voice,+91 9836718059,+91 9740167997,500.0,-66.93789392976072,PBX,Edge Network,H.264,28ms,396ms,4%,Chennai,"28.8790° N, 77.2108° E",Critical,4646 users,VoIP,Call Interception,92%
179,13-12-2024 22.38,Routing Table Overflow,Video,+91 9834244194,+91 9599016687,500.0,-69.10592703023615,Mobile,Access Network,G.729,46ms,466ms,4%,Delhi NCR,"28.3211° N, 77.6188° E",Low,3237 users,Mobile,Equipment Breach,67%
180,13-12-2024 16.58,Dropped Calls,Voice,+91 9126172852,+91 9731336297,408.0,-63.53943820236792,Switch,Core Network,Opus,25ms,328ms,1%,Chennai,"28.4963° N, 77.3544° E",Medium,3747 users,Mobile,,54%
181,18-12-2024 21.25,Intermittent Service,Voice,+91 9939279979,+91 9337501215,408.0,-88.8054130018621,Switch,Core Network,G.711,22ms,476ms,2%,Delhi NCR,"28.0912° N, 77.5281° E",Low,1146 users,Mobile,Call Interception,52%
182,18-12-2024 3.34,phishing attacks,Video,+91 9361768727,+91 9105502277,408.0,-44.24511517589889,Mobile,Edge Network,Opus,42ms,119ms,3%,Kolkata,"28.2538° N, 77.7035° E",Medium,1098 users,VoIP,,53%
183,16-12-2024 2.50,Echo During Calls,Video,+91 9065195888,+91 9147958549,,-57.96145640400179,Router,Access Network,Opus,47ms,296ms,10%,Chennai,"28.7933° N, 77.0019° E",Critical,412 users,Mobile,,52%
184,18-12-2024 13.55,Dropped Calls,Video,+91 9768496385,+91 9673559485,,-72.55236109859584,Switch,Edge Network,G.711,29ms,54ms,9%,Delhi NCR,"28.6017° N, 77.1817° E",Low,2114 users,Mobile,DDoS,66%
185,13-12-2024 12.31,Network Downtime,Video,+91 9992155404,+91 9849718371,,-87.63911147205036,Switch,Core Network,G.711,7ms,165ms,3%,Mumbai,"28.3070° N, 77.2834° E",Critical,3638 users,Mobile,Call Interception,53%
186,13-12-2024 22.25,Poor Voice Quality,Voice,+91 9829282580,+91 9307051404,503.0,-46.51738534552272,Switch,Core Network,Opus,39ms,91ms,0%,Delhi NCR,"28.0701° N, 77.0233° E",Medium,1432 users,PBX,DDoS,99%
187,18-12-2024 8.39,Routing Protocol Failure,Voice,+91 9771009254,+91 9533931944,500.0,-53.53697251540377,Router,Core Network,G.729,42ms,366ms,10%,Chennai,"28.3515° N, 77.4690° E",High,2571 users,Mobile,DDoS,80%
188,19-12-2024 10.36,Dropped Calls,Voice,+91 9837621374,+91 9268910533,500.0,-53.382382982935184,Router,Core Network,G.729,27ms,185ms,8%,Delhi NCR,"28.4079° N, 77.8983° E",Medium,4400 users,Mobile,Equipment Breach,89%
189,15-12-2024 4.39,Slow Performance,Video,+91 9200276788,+91 9946114129,,-41.96426648734746,Switch,Access Network,G.729,13ms,191ms,9%,Chennai,"28.3939° N, 77.7536° E",Critical,4139 users,Mobile,Call Interception,90%
190,17-12-2024 19.42,Echo During Calls,Video,+91 9111240296,+91 9627862530,503.0,-86.9917415533663,Mobile,Edge Network,H.264,10ms,103ms,8%,Delhi NCR,"28.7139° N, 77.4417° E",Low,1446 users,PBX,Call Interception,45%
191,18-12-2024 3.27,data breaches,Voice,+91 9556832596,+91 9973804706,408.0,-83.56669324876154,Router,Edge Network,Opus,49ms,406ms,7%,Mumbai,"28.6977° N, 77.2481° E",Medium,4771 users,PBX,Equipment Breach,89%
192,12-12-2024 18.17,Slow Performance,Voice,+91 9262013383,+91 9582180623,408.0,-86.37255341155516,Router,Access Network,G.711,10ms,308ms,9%,Mumbai,"28.3345° N, 77.6487° E",Medium,1799 users,Mobile,DDoS,54%
193,14-12-2024 1.29,Latency and Delay,Video,+91 9711847953,+91 9303316875,,-43.62451063387539,PBX,Edge Network,H.264,49ms,362ms,3%,Mumbai,"28.0339° N, 77.0613° E",Medium,2829 users,PBX,DDoS,71%
194,18-12-2024 16.08,Unauthorized Disconnections,Video,+91 9616017511,+91 9870951071,408.0,-79.47211457401501,Mobile,Core Network,G.711,45ms,444ms,5%,Chennai,"28.3352° N, 77.6302° E",Low,4329 users,PBX,Call Interception,82%
195,18-12-2024 17.39,Misconfigured Routes,Video,+91 9914388890,+91 9150075681,500.0,-80.95477979576754,PBX,Edge Network,H.264,7ms,366ms,10%,Delhi NCR,"28.1994° N, 77.8934° E",High,3909 users,Data,,85%
196,17-12-2024 17.15,Route Flapping,Voice,+91 9208561718,+91 9933386443,,-83.80994102535799,Switch,Access Network,G.729,46ms,107ms,10%,Mumbai,"28.3531° N, 77.3321° E",Critical,1819 users,Mobile,DDoS,80%
197,13-12-2024 13.39,Intermittent Failure,Video,+91 9554831707,+91 9247596156,,-58.819404276413984,Router,Edge Network,G.729,50ms,427ms,8%,Chennai,"28.6390° N, 77.3132° E",Critical,3946 users,VoIP,DDoS,74%
198,16-12-2024 8.58,Routing Table Overflow,Voice,+91 9802510552,+91 9447317753,,-75.27870392490118,Switch,Core Network,Opus,48ms,113ms,9%,Bangalore,"28.0758° N, 77.8262° E",Low,2831 users,Data,Call Interception,78%
199,19-12-2024 3.50,Intermittent Service,Video,+91 9231157375,+91 9313335700,503.0,-82.67749659740281,Mobile,Edge Network,Opus,20ms,411ms,6%,Kolkata,"28.6269° N, 77.1545° E",High,3576 users,Mobile,Equipment Breach,68%
200,12-12-2024 18.13,Blank Response After Calling,Voice,+91 9948748395,+91 9099078506,404.0,-70.15887705095399,Switch,Edge Network,H.264,7ms,453ms,1%,Chennai,"28.7558° N, 77.3480° E",Low,1509 users,PBX,DDoS,54%
201,12-12-2024 23.25,Failure to Connect,Video,+91 9004210496,+91 9282179620,503.0,-57.31992353744015,Mobile,Edge Network,G.729,42ms,469ms,9%,Mumbai,"28.3495° N, 77.8246° E",Critical,1378 users,Data,,70%
202,16-12-2024 1.59,Device Unresponsiveness,Video,+91 9969649578,+91 9632035417,408.0,-50.37829024625893,Router,Core Network,Opus,40ms,82ms,5%,Kolkata,"28.5619° N, 77.7644° E",High,2364 users,Mobile,DDoS,65%
203,15-12-2024 23.14,Routing Protocol Failure,Voice,+91 9449467305,+91 9221955920,,-57.06415652133382,Mobile,Access Network,G.711,48ms,359ms,1%,Kolkata,"28.8586° N, 77.3594° E",High,3889 users,PBX,DDoS,43%
204,19-12-2024 6.23,Failure to Connect,Voice,+91 9331277284,+91 9733626346,,-70.49425792130741,Switch,Edge Network,H.264,8ms,315ms,6%,Mumbai,"28.8212° N, 77.3831° E",Low,1633 users,VoIP,Equipment Breach,41%
205,17-12-2024 19.33,Routing Protocol Failure,Video,+91 9729845012,+91 9944386755,408.0,-55.915006232399186,Router,Core Network,G.729,37ms,127ms,6%,Chennai,"28.0364° N, 77.4746° E",High,58 users,Data,Equipment Breach,95%
206,13-12-2024 8.29,Slow Performance,Voice,+91 9328548894,+91 9516509862,500.0,-82.04709625862567,Switch,Access Network,G.711,30ms,89ms,6%,Delhi NCR,"28.2322° N, 77.9133° E",Critical,1130 users,PBX,,42%
207,16-12-2024 9.25,Failure to Connect,Voice,+91 9148304131,+91 9779891576,,-55.8830177664504,PBX,Access Network,G.729,26ms,368ms,7%,Chennai,"28.1713° N, 77.4848° E",High,775 users,PBX,Call Interception,98%
208,14-12-2024 17.52,Complete Service Downtime,Voice,+91 9240768966,+91 9484811408,404.0,-70.75860816070772,Router,Core Network,G.711,33ms,457ms,1%,Delhi NCR,"28.5122° N, 77.8564° E",High,2511 users,VoIP,Equipment Breach,94%
209,13-12-2024 16.50,Degraded Performance,Voice,+91 9669110813,+91 9093356660,503.0,-67.01851896459894,PBX,Access Network,G.711,20ms,271ms,8%,Chennai,"28.0891° N, 77.9428° E",Low,3148 users,VoIP,Equipment Breach,83%
210,15-12-2024 18.00,Partial Outage,Video,+91 9892363126,+91 9649799579,500.0,-61.889653589784025,Router,Access Network,H.264,15ms,69ms,2%,Kolkata,"28.3521° N, 77.2769° E",High,1266 users,VoIP,Call Interception,54%
211,14-12-2024 8.56,Misconfigured Routes,Video,+91 9730900266,+91 9342090805,503.0,-87.34049459604604,Switch,Edge Network,G.711,50ms,450ms,0%,Kolkata,"28.6788° N, 77.6869° E",Critical,2563 users,Mobile,,73%
212,14-12-2024 17.50,Route Flapping,Voice,+91 9572982565,+91 9454419331,408.0,-82.98967981516012,Router,Access Network,G.711,40ms,254ms,4%,Bangalore,"28.6996° N, 77.8616° E",Low,1140 users,VoIP,Equipment Breach,99%
213,17-12-2024 17.37,Intermittent Connectivity,Voice,+91 9056264613,+91 9858293781,500.0,-54.012706954507195,Router,Access Network,G.711,26ms,415ms,6%,Delhi NCR,"28.0835° N, 77.8768° E",Low,4441 users,Data,Call Interception,52%
214,16-12-2024 20.27,Echo During Calls,Video,+91 9213580261,+91 9799209897,,-66.11692180581822,Switch,Access Network,G.711,45ms,135ms,2%,Mumbai,"28.8318° N, 77.4673° E",High,978 users,PBX,Call Interception,60%
215,19-12-2024 11.07,Device Unresponsiveness,Video,+91 9506804997,+91 9597220466,404.0,-49.20451130355994,Router,Core Network,Opus,49ms,267ms,6%,Chennai,"28.3230° N, 77.2547° E",Medium,4507 users,Data,,74%
216,13-12-2024 1.18,malware infections,Voice,+91 9726923324,+91 9470949402,,-72.93516506874185,PBX,Core Network,H.264,9ms,263ms,0%,Bangalore,"28.2678° N, 77.2543° E",Critical,2222 users,PBX,Equipment Breach,80%
217,16-12-2024 19.19,phishing attacks,Voice,+91 9543269195,+91 9595455436,503.0,-86.08689715554227,Switch,Core Network,H.264,31ms,83ms,6%,Delhi NCR,"28.8744° N, 77.6290° E",High,174 users,Mobile,Call Interception,52%
218,18-12-2024 5.20,Echo During Calls,Voice,+91 9403240957,+91 9458689156,408.0,-65.97043219756596,Switch,Edge Network,H.264,44ms,444ms,9%,Bangalore,"28.7426° N, 77.6868° E",Low,2293 users,PBX,Equipment Breach,87%
219,17-12-2024 21.56,Intermittent Connectivity,Video,+91 9440798291,+91 9464568139,500.0,-62.93570198922072,Router,Edge Network,G.729,30ms,189ms,9%,Mumbai,"28.2145° N, 77.2594° E",High,3768 users,PBX,Equipment Breach,82%
220,13-12-2024 18.57,Intermittent Service,Voice,+91 9064904105,+91 9815125675,503.0,-52.59727433806904,Switch,Edge Network,H.264,29ms,500ms,1%,Kolkata,"28.2170° N, 77.1267° E",Low,4483 users,Data,Call Interception,82%
221,18-12-2024 18.00,Latency and Delay,Video,+91 9978630585,+91 9659670564,503.0,-44.460381363054346,Mobile,Access Network,G.711,42ms,89ms,0%,Bangalore,"28.1712° N, 77.1817° E",Medium,2629 users,Mobile,,49%
222,19-12-2024 10.29,data breaches,Voice,+91 9348080434,+91 9651080643,408.0,-75.46531947183851,Router,Edge Network,G.729,47ms,230ms,8%,Bangalore,"28.9545° N, 77.9977° E",High,3915 users,VoIP,Equipment Breach,58%
223,16-12-2024 4.37,Network Downtime,Video,+91 9959074297,+91 9248412399,503.0,-54.28081051090612,Mobile,Core Network,G.729,28ms,444ms,5%,Mumbai,"28.7010° N, 77.7368° E",Low,809 users,Mobile,Call Interception,56%
224,18-12-2024 16.48,Network Downtime,Video,+91 9245833312,+91 9868010566,408.0,-52.22237674087624,Mobile,Core Network,G.711,30ms,420ms,0%,Bangalore,"28.3817° N, 77.5755° E",Medium,3897 users,Mobile,Call Interception,52%
225,15-12-2024 13.42,Blank Response After Calling,Voice,+91 9159821769,+91 9680210381,503.0,-74.64342966327884,PBX,Access Network,Opus,13ms,286ms,6%,Kolkata,"28.4627° N, 77.0710° E",Low,1983 users,PBX,Call Interception,96%
226,14-12-2024 19.51,Misconfigured Routes,Voice,+91 9006197816,+91 9078873838,500.0,-81.86508416185637,PBX,Edge Network,G.729,15ms,240ms,8%,Chennai,"28.1883° N, 77.0710° E",Medium,407 users,Data,,42%
227,16-12-2024 18.58,Dropped Calls,Video,+91 9862877818,+91 9380990222,500.0,-88.3373135523085,Router,Core Network,H.264,5ms,245ms,3%,Delhi NCR,"28.3402° N, 77.0314° E",Medium,1230 users,VoIP,Equipment Breach,58%
228,18-12-2024 21.45,phishing attacks,Voice,+91 9795801709,+91 9616788401,500.0,-42.61893770923666,Mobile,Edge Network,Opus,15ms,91ms,7%,Kolkata,"28.5286° N, 77.0432° E",Medium,2211 users,Mobile,,59%
229,19-12-2024 2.03,Failure to Connect,Voice,+91 9743032094,+91 9170041741,503.0,-56.500565101957854,PBX,Edge Network,H.264,50ms,143ms,3%,Delhi NCR,"28.4347° N, 77.4809° E",Medium,253 users,Mobile,,40%
